network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,edge_AA,edge_AB,edge_BA,edge_BB,start_state,A_update_only,B_update_only
46,6,2,23,"A→A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = B,1,0,-1,1,10,10,10
46,6,2,23,"A→A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = B,1,0,-1,1,11,01,11
47,6,2,23,"A→A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = B,1,0,-1,1,00,10,00
47,6,2,23,"A→A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = B,1,0,-1,1,01,01,01
47,6,2,23,"A→A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = B,1,0,-1,1,10,10,10
47,6,2,23,"A→A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = B,1,0,-1,1,11,11,11
48,6,3,24,"A→A,B⊣B,A→B",AA,AND,AND,A' = A & B,B' = !B,1,0,1,-1,00,00,01
48,6,3,24,"A→A,B⊣B,A→B",AA,AND,AND,A' = A & B,B' = !B,1,0,1,-1,01,01,00
48,6,3,24,"A→A,B⊣B,A→B",AA,AND,AND,A' = A & B,B' = !B,1,0,1,-1,10,00,11
48,6,3,24,"A→A,B⊣B,A→B",AA,AND,AND,A' = A & B,B' = !B,1,0,1,-1,11,11,10
49,6,3,24,"A→A,B⊣B,A→B",OA,AND,OR,A' = A | B,B' = !B,1,0,1,-1,00,00,01
49,6,3,24,"A→A,B⊣B,A→B",OA,AND,OR,A' = A | B,B' = !B,1,0,1,-1,01,11,00
49,6,3,24,"A→A,B⊣B,A→B",OA,AND,OR,A' = A | B,B' = !B,1,0,1,-1,10,10,11
49,6,3,24,"A→A,B⊣B,A→B",OA,AND,OR,A' = A | B,B' = !B,1,0,1,-1,11,11,10
50,6,4,25,"A→A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = B,-1,0,-1,1,00,10,00
50,6,4,25,"A→A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = B,-1,0,-1,1,01,01,01
50,6,4,25,"A→A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = B,-1,0,-1,1,10,00,10
50,6,4,25,"A→A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = B,-1,0,-1,1,11,01,11
51,6,4,25,"A→A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = B,-1,0,-1,1,00,10,00
51,6,4,25,"A→A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = B,-1,0,-1,1,01,11,01
51,6,4,25,"A→A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = B,-1,0,-1,1,10,10,10
51,6,4,25,"A→A,B⊣B,A⊣B",OA,AND,OR,A' = !A | !B,B' = B,-1,0,-1,1,11,01,11
52,6,5,26,"A⊣A,B→B,A→B",AA,AND,AND,A' = !A & B,B' = B,-1,0,1,1,00,00,00
52,6,5,26,"A⊣A,B→B,A→B",AA,AND,AND,A' = !A & B,B' = B,-1,0,1,1,01,11,01
52,6,5,26,"A⊣A,B→B,A→B",AA,AND,AND,A' = !A & B,B' = B,-1,0,1,1,10,00,10
52,6,5,26,"A⊣A,B→B,A→B",AA,AND,AND,A' = !A & B,B' = B,-1,0,1,1,11,01,11
53,6,5,26,"A⊣A,B→B,A→B",OA,AND,OR,A' = !A | B,B' = B,-1,0,1,1,00,10,00
53,6,5,26,"A⊣A,B→B,A→B",OA,AND,OR,A' = !A | B,B' = B,-1,0,1,1,01,11,01
53,6,5,26,"A⊣A,B→B,A→B",OA,AND,OR,A' = !A | B,B' = B,-1,0,1,1,10,00,10
53,6,5,26,"A⊣A,B→B,A→B",OA,AND,OR,A' = !A | B,B' = B,-1,0,1,1,11,11,11
54,6,6,27,"A⊣A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = !B,1,0,-1,-1,00,00,01
54,6,6,27,"A⊣A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = !B,1,0,-1,-1,01,01,00
54,6,6,27,"A⊣A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = !B,1,0,-1,-1,10,10,11
54,6,6,27,"A⊣A,B→B,A⊣B",AA,AND,AND,A' = A & !B,B' = !B,1,0,-1,-1,11,01,10
55,6,6,27,"A⊣A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = !B,1,0,-1,-1,00,10,01
55,6,6,27,"A⊣A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = !B,1,0,-1,-1,01,01,00
55,6,6,27,"A⊣A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = !B,1,0,-1,-1,10,10,11
55,6,6,27,"A⊣A,B→B,A⊣B",OA,AND,OR,A' = A | !B,B' = !B,1,0,-1,-1,11,11,10
56,6,7,28,"A⊣A,B⊣B,A→B",AA,AND,AND,A' = !A & B,B' = !B,-1,0,1,-1,00,00,01
56,6,7,28,"A⊣A,B⊣B,A→B",AA,AND,AND,A' = !A & B,B' = !B,-1,0,1,-1,01,11,00
56,6,7,28,"A⊣A,B⊣B,A→B",AA,AND,AND,A' = !A & B,B' = !B,-1,0,1,-1,10,00,11
56,6,7,28,"A⊣A,B⊣B,A→B",AA,AND,AND,A' = !A & B,B' = !B,-1,0,1,-1,11,01,10
57,6,7,28,"A⊣A,B⊣B,A→B",OA,AND,OR,A' = !A | B,B' = !B,-1,0,1,-1,00,10,01
57,6,7,28,"A⊣A,B⊣B,A→B",OA,AND,OR,A' = !A | B,B' = !B,-1,0,1,-1,01,11,00
57,6,7,28,"A⊣A,B⊣B,A→B",OA,AND,OR,A' = !A | B,B' = !B,-1,0,1,-1,10,00,11
57,6,7,28,"A⊣A,B⊣B,A→B",OA,AND,OR,A' = !A | B,B' = !B,-1,0,1,-1,11,11,10
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = !B,-1,0,-1,-1,00,10,01
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = !B,-1,0,-1,-1,01,01,00
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,AND,AND,A' = !A & !B,B' = !B,-1,0,-1,-1,10,00,11
