network_id,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Derrida Coefficient,Average Sensitivity
49,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0437784801966772,-0.0,0.0,0.0,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.7142857142857139,-1.0,0.0,0.0,0.0,0.0
50,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-0.41421356237309537,1.0,0.0,0.0,0.5,1.0,0.5,-1.3333333333333333,-2.0,0.0,0.0,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
51,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-0.41421356237309537,1.0,0.0,0.0,0.5,1.0,0.5,-1.3333333333333333,-2.0,0.0,0.0,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
52,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-0.41421356237309537,1.0,0.0,0.0,0.5,1.0,0.5,-1.3333333333333333,-2.0,0.0,0.0,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
53,-0.5,-0.5000000000000001,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-0.05722018388784843,-0.0,0.0,-0.41421356237309537,1.0,0.0,0.0,0.5,1.0,0.5,-1.3333333333333333,-2.0,0.0,0.0,-0.3333333333333333,0.0,-1.0,-0.9523809523809526,0.0,-0.5,0.5,0.0,0.0
54,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0437784801966772,-0.0,5.9808329400112825e-09,0.0,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.7142857142857139,-1.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0437784801966772,-0.0,0.0,-1.5700924586837762e-16,0.0,-0.5,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.7142857142857139,-1.0,0.0,0.0,0.0,0.0
56,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.1175839783194566,-0.0,0.7320508075688774,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,0.7142857142857139,-1.0,-0.5,0.5,0.0,0.0
57,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.1175839783194566,-0.0,0.7320508075688774,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,0.7142857142857139,-1.0,-0.5,0.5,0.0,0.0
58,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,1.1175839783194566,-0.0,0.7320508075688767,0.9999999999999997,0.0,-0.5,-1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,1.0,0.7142857142857139,-1.0,-0.5,0.5,0.0,0.0
